Country,first_seq,num_seqs,last_seq,variant,censure_date,duration,censored,mortality_rate,total_cases,total_deaths,growth_rate
Israel,2020-12-16,7979,2021-11-24,S.N501,2021-08-16,343,False,0.01,117254,716,2415.68
Burkina Faso,2020-12-16,23,2021-04-30,S.N501,2021-08-16,135,True,0.01,988,12,58.01
Rwanda,2020-12-17,60,2021-08-01,S.N501,2021-08-17,227,True,0.01,2632,31,192.35
Saint Lucia,2020-12-17,34,2021-07-26,S.N501,2021-08-17,221,True,0.02,891,15,26.19
Finland,2020-12-18,7452,2021-09-10,S.N501,2021-08-18,266,False,0.01,13054,106,350.5
New Zealand,2020-12-19,163,2021-11-21,S.N501,2021-08-19,337,False,0.0,335,2,24.57
Ethiopia,2020-12-19,49,2021-07-20,S.N501,2021-08-19,213,True,0.02,10646,167,945.6
Jamaica,2020-12-21,227,2021-07-24,S.N501,2021-08-21,215,True,0.02,7822,177,224.97
Togo,2020-12-21,56,2021-04-26,S.N501,2021-08-21,126,True,0.01,556,6,80.74
Oman,2020-12-22,118,2021-07-06,S.N501,2021-08-22,196,True,0.01,27928,335,727.35
Poland,2020-12-22,15576,2021-11-10,S.N501,2021-08-22,323,False,0.02,380729,9477,5625.84
Qatar,2020-12-22,489,2021-06-07,S.N501,2021-08-22,167,True,0.0,14402,38,529.93
Maldives,2020-12-23,16,2021-04-25,S.N501,2021-08-23,123,True,0.0,202,1,123.14
Estonia,2020-12-23,3168,2021-07-28,S.N501,2021-08-23,217,True,0.01,14572,140,582.67
Luxembourg,2020-12-24,6894,2021-08-12,S.N501,2021-08-24,231,True,0.01,7850,88,134.98
Bosnia and Herzegovina,2020-12-25,80,2021-07-05,S.N501,2021-08-25,192,True,0.05,11810,557,636.98
Taiwan,2020-12-26,64,2021-07-28,S.N501,2021-08-26,214,True,0.05,2197,111,77.72
Dominican Republic,2020-12-27,208,2021-10-15,S.N501,2021-08-27,292,False,0.01,41357,458,667.35
Iraq,2020-12-27,70,2021-07-06,S.N501,2021-08-27,191,True,0.01,170198,2131,4614.68
Mali,2020-12-27,3,2021-07-31,S.N501,2021-08-27,216,True,0.04,204,8,44.05
Gabon,2020-12-28,61,2021-09-30,S.N501,2021-08-28,276,False,0.01,2414,15,70.74
